,Date,TAVG,TMAX,TMIN,PRCP,SNOW,SNWD
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/02/2010,-14,-3,-23,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/03/2010,-11,-2,-24,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/04/2010,-22,-15,-28,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/05/2010,-25,-20,-35,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/06/2010,-28,-18,-36,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/07/2010,-21,-13,-29,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/08/2010,-25,-13,-34,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/09/2010,-34,-29,-38,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/10/2010,-27,-23,-32,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/11/2010,-22,,-24,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/12/2010,-11,-3,,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/13/2010,-6,-3,-8,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/14/2010,-4,-3,-6,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/15/2010,-6,-2,-16,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/16/2010,-12,-3,-18,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/17/2010,-10,-7,-17,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/18/2010,-6,0,-13,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/19/2010,2,4,-4,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/20/2010,4,6,3,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/21/2010,0,2,-2,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/22/2010,-3,0,,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/23/2010,-15,,,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/24/2010,-33,,-48,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/25/2010,-45,-39,-50,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/26/2010,-41,-35,-50,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/27/2010,-46,-40,-50,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/28/2010,-41,-33,-48,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/01/2010,-24,-20,-33,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/02/2010,-18,-14,-20,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/03/2010,-16,-12,-20,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/04/2010,-11,-6,-13,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/05/2010,-17,-10,-22,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/06/2010,-14,-4,-21,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/07/2010,-9,-5,-17,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/08/2010,-20,-15,-32,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/09/2010,-18,-12,-26,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/10/2010,-13,-12,-15,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/11/2010,-18,-14,-29,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/12/2010,-26,-19,-31,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/13/2010,-33,-21,-38,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/14/2010,-32,-25,-41,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/15/2010,-35,-26,-41,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/16/2010,-30,-14,-40,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/17/2010,-18,-2,-32,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/18/2010,-9,0,-16,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/19/2010,-9,1,-20,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/20/2010,-17,-8,-25,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/21/2010,-18,-6,-31,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/22/2010,-22,-13,-31,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/23/2010,-24,-14,-34,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/24/2010,-29,-20,-37,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/25/2010,-25,-16,-34,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/26/2010,-14,-3,-24,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/27/2010,-27,-12,-35,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/28/2010,-21,-15,-28,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/29/2010,-12,-6,-22,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/30/2010,-12,0,-20,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/31/2010,-12,1,-21,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/01/2010,-9,1,-20,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/02/2010,-1,8,-6,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/03/2010,2,7,-1,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/04/2010,1,7,-2,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/05/2010,1,8,0,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/06/2010,0,10,-4,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/07/2010,1,8,-1,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/08/2010,1,3,-5,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/09/2010,-12,1,-25,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/10/2010,-7,28,-27,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/11/2010,28,35,18,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/12/2010,32,35,29,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/13/2010,30,38,21,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/14/2010,20,25,7,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/15/2010,5,16,-4,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/16/2010,7,19,-2,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/17/2010,11,24,-3,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/18/2010,15,35,1,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/19/2010,10,20,0,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/20/2010,15,25,9,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/21/2010,18,36,2,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/22/2010,16,36,-2,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/23/2010,21,34,2,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/24/2010,19,37,3,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/25/2010,12,18,3,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/26/2010,9,16,-1,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/27/2010,17,20,15,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/28/2010,19,23,15,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/29/2010,23,28,20,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/30/2010,22,23,20,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/01/2010,18,21,16,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/02/2010,21,34,14,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/03/2010,21,25,17,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/04/2010,22,26,17,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/05/2010,18,23,13,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/06/2010,15,20,11,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/07/2010,9,22,0,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/08/2010,10,20,-2,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/09/2010,9,17,2,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/10/2010,8,11,0,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/11/2010,10,13,7,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/12/2010,13,18,7,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/13/2010,17,19,15,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/14/2010,20,25,13,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/15/2010,22,27,17,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/16/2010,24,27,22,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/17/2010,26,28,23,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/18/2010,26,28,23,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/19/2010,29,33,27,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/20/2010,28,31,26,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/21/2010,29,33,25,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/22/2010,30,33,24,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/23/2010,32,39,28,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/24/2010,32,35,29,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/25/2010,35,41,29,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/26/2010,31,35,27,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/27/2010,38,49,28,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/28/2010,35,36,33,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/29/2010,35,39,29,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/30/2010,38,44,28,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/31/2010,34,37,32,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/01/2010,33,36,31,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/02/2010,34,37,32,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/03/2010,35,38,32,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/04/2010,36,42,32,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/05/2010,39,46,32,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/06/2010,54,69,34,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/07/2010,57,66,40,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/08/2010,59,70,40,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/09/2010,59,70,45,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/10/2010,63,76,48,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/11/2010,55,67,43,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/12/2010,50,67,38,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/13/2010,46,60,32,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/14/2010,47,57,33,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/15/2010,43,55,35,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/16/2010,39,44,33,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/17/2010,49,65,36,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/18/2010,46,57,36,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/19/2010,44,56,32,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/20/2010,47,59,33,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/21/2010,46,60,33,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/22/2010,43,57,32,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/23/2010,44,55,33,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/24/2010,48,60,36,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/25/2010,49,58,38,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/26/2010,44,53,35,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/27/2010,44,54,33,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/28/2010,57,71,39,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/29/2010,60,71,46,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/30/2010,49,60,41,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/01/2010,53,66,40,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/02/2010,52,69,43,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/03/2010,54,64,44,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/04/2010,60,70,43,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/05/2010,44,49,37,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/06/2010,45,54,36,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/07/2010,52,63,45,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/08/2010,64,79,43,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/09/2010,67,81,48,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/10/2010,59,68,48,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/11/2010,49,59,42,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/12/2010,45,53,39,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/13/2010,47,54,36,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/14/2010,46,55,34,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/15/2010,47,54,36,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/16/2010,53,61,43,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/17/2010,52,55,48,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/18/2010,54,62,48,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/19/2010,48,52,43,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/20/2010,48,59,39,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/21/2010,58,70,41,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/22/2010,52,58,46,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/23/2010,52,58,47,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/24/2010,54,65,45,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/25/2010,56,72,42,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/26/2010,60,72,41,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/27/2010,60,74,43,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/28/2010,59,65,54,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/29/2010,56,61,50,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/30/2010,59,71,46,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/31/2010,60,70,43,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/01/2010,63,73,49,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/02/2010,67,76,55,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/03/2010,63,75,47,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/04/2010,65,78,48,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/05/2010,54,58,48,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/06/2010,46,48,41,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/07/2010,42,48,37,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/08/2010,42,48,39,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/09/2010,43,50,38,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/10/2010,42,48,37,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/11/2010,47,53,40,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/12/2010,54,66,45,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/13/2010,54,63,43,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/14/2010,55,69,36,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/15/2010,63,80,48,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/16/2010,60,67,53,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/17/2010,53,60,48,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/18/2010,55,63,46,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/19/2010,48,52,45,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/20/2010,44,48,41,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/21/2010,46,56,39,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/22/2010,44,49,41,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/23/2010,47,56,41,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/24/2010,45,53,37,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/25/2010,45,59,34,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/26/2010,45,57,36,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/27/2010,45,58,34,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/28/2010,46,61,30,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/29/2010,46,62,31,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/30/2010,43,51,34,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",08/31/2010,42,45,39,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/01/2010,45,55,33,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/02/2010,42,56,31,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/03/2010,46,58,34,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/04/2010,51,63,38,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/05/2010,53,61,44,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/06/2010,55,66,45,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/07/2010,52,66,39,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/08/2010,53,65,41,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/09/2010,50,58,36,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/10/2010,44,59,32,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/11/2010,48,68,30,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/12/2010,50,61,35,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/13/2010,46,62,31,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/14/2010,44,61,35,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/15/2010,47,61,31,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/16/2010,46,50,41,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/17/2010,45,53,35,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/18/2010,42,59,30,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/19/2010,38,54,26,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/20/2010,34,36,31,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/21/2010,30,34,27,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/22/2010,29,35,25,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/23/2010,28,31,25,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/24/2010,31,40,24,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/25/2010,28,32,19,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/26/2010,25,30,22,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/27/2010,23,29,15,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/28/2010,23,28,14,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/29/2010,20,32,6,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",09/30/2010,26,29,24,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/01/2010,26,28,24,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/02/2010,29,30,27,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/03/2010,28,32,26,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/04/2010,27,30,25,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/05/2010,28,31,24,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/06/2010,26,28,22,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/07/2010,20,23,11,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/08/2010,2,10,-3,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/09/2010,12,16,9,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/10/2010,18,20,16,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/11/2010,18,22,12,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/12/2010,15,19,10,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/13/2010,6,13,-5,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/14/2010,-5,5,-9,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/15/2010,-7,2,-12,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/16/2010,1,15,-14,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/17/2010,6,14,0,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/18/2010,0,4,-3,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/19/2010,0,12,-12,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/20/2010,-2,6,-15,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/21/2010,5,12,-2,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/22/2010,5,12,0,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/23/2010,15,19,13,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/24/2010,14,14,14,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/25/2010,15,18,13,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/26/2010,15,19,6,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/27/2010,-4,9,-10,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/28/2010,5,12,-5,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/29/2010,4,9,-3,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/30/2010,9,,9,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/31/2010,15,18,,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/01/2010,12,15,10,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/02/2010,10,12,8,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/03/2010,3,12,-12,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/04/2010,13,21,-6,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/05/2010,20,22,,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/06/2010,12,,10,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/07/2010,15,16,12,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/08/2010,13,17,6,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/09/2010,5,12,1,,,
