,Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
"BETHEL AIRPORT, AK US (USW00026615)",11/20/1952,,35,21,0.12,1.5,1
"BETHEL AIRPORT, AK US (USW00026615)",11/21/1952,,37,30,0.02,0,2
"BETHEL AIRPORT, AK US (USW00026615)",11/22/1952,,36,30,0.14,1,1
"BETHEL AIRPORT, AK US (USW00026615)",11/23/1952,,35,19,0.05,0.7,2
"BETHEL AIRPORT, AK US (USW00026615)",11/24/1952,,29,13,0,0,3
"BETHEL AIRPORT, AK US (USW00026615)",11/25/1952,,33,16,0.02,0.4,3
"BETHEL AIRPORT, AK US (USW00026615)",11/26/1952,,33,13,0,0,3
"BETHEL AIRPORT, AK US (USW00026615)",11/27/1952,,32,23,0.06,0.6,3
"BETHEL AIRPORT, AK US (USW00026615)",11/28/1952,,28,10,0.02,0.3,4
"BETHEL AIRPORT, AK US (USW00026615)",11/29/1952,,19,-1,0,0,4
"BETHEL AIRPORT, AK US (USW00026615)",11/30/1952,,2,-7,0,0,4
"BETHEL AIRPORT, AK US (USW00026615)",12/1/1952,,-5,-12,0,0,4
"BETHEL AIRPORT, AK US (USW00026615)",12/2/1952,,-6,-17,0,0,4
"BETHEL AIRPORT, AK US (USW00026615)",12/3/1952,,-7,-18,0,0,4
"BETHEL AIRPORT, AK US (USW00026615)",12/4/1952,,25,-18,0.26,2.9,4
"BETHEL AIRPORT, AK US (USW00026615)",12/5/1952,,27,10,0.01,0.1,7
"BETHEL AIRPORT, AK US (USW00026615)",12/6/1952,,22,3,0.01,0.2,7
"BETHEL AIRPORT, AK US (USW00026615)",12/7/1952,,5,-9,0,0,7
"BETHEL AIRPORT, AK US (USW00026615)",12/8/1952,,-8,-20,0,0,7
"BETHEL AIRPORT, AK US (USW00026615)",12/9/1952,,-1,-19,0,0,7
"BETHEL AIRPORT, AK US (USW00026615)",12/10/1952,,6,-5,0.01,0.1,7
"BETHEL AIRPORT, AK US (USW00026615)",12/11/1952,,6,-16,0,0,7
"BETHEL AIRPORT, AK US (USW00026615)",12/12/1952,,-8,-19,0,0,7
"BETHEL AIRPORT, AK US (USW00026615)",12/13/1952,,2,-17,0,0,7
"BETHEL AIRPORT, AK US (USW00026615)",12/14/1952,,3,-14,0.05,0.5,7
"BETHEL AIRPORT, AK US (USW00026615)",12/15/1952,,-8,-21,0.01,0.2,7
"BETHEL AIRPORT, AK US (USW00026615)",12/16/1952,,-8,-28,0,0,8
"BETHEL AIRPORT, AK US (USW00026615)",12/17/1952,,3,-22,0,0,8
"BETHEL AIRPORT, AK US (USW00026615)",12/18/1952,,9,-1,0.02,0.2,8
"BETHEL AIRPORT, AK US (USW00026615)",12/19/1952,,15,6,0.01,0.1,8
"BETHEL AIRPORT, AK US (USW00026615)",12/20/1952,,15,3,0,0,8
"BETHEL AIRPORT, AK US (USW00026615)",12/21/1952,,18,4,0.07,0.9,8
"BETHEL AIRPORT, AK US (USW00026615)",12/22/1952,,19,4,0,0,9
"BETHEL AIRPORT, AK US (USW00026615)",12/23/1952,,21,14,0.02,0.2,9
"BETHEL AIRPORT, AK US (USW00026615)",12/24/1952,,30,19,0.01,0.1,9
"BETHEL AIRPORT, AK US (USW00026615)",12/25/1952,,35,18,0.03,0.3,9
"BETHEL AIRPORT, AK US (USW00026615)",12/26/1952,,36,24,0,0,9
"BETHEL AIRPORT, AK US (USW00026615)",12/27/1952,,25,-1,0,0,9
"BETHEL AIRPORT, AK US (USW00026615)",12/28/1952,,7,-3,0,0,9
"BETHEL AIRPORT, AK US (USW00026615)",12/29/1952,,9,-4,0,0,9
"BETHEL AIRPORT, AK US (USW00026615)",12/30/1952,,10,-4,0.03,0.4,9
"BETHEL AIRPORT, AK US (USW00026615)",12/31/1952,,11,-6,0,0,10
"BETHEL AIRPORT, AK US (USW00026615)",1/1/1953,,17,1,0,0,10
"BETHEL AIRPORT, AK US (USW00026615)",1/2/1953,,17,2,0,0,10
"BETHEL AIRPORT, AK US (USW00026615)",1/3/1953,,30,10,0,0,10
"BETHEL AIRPORT, AK US (USW00026615)",1/4/1953,,43,28,0,0,10
"BETHEL AIRPORT, AK US (USW00026615)",1/5/1953,,42,32,0,0,2
"BETHEL AIRPORT, AK US (USW00026615)",1/6/1953,,34,24,0.01,0.2,1
"BETHEL AIRPORT, AK US (USW00026615)",1/7/1953,,26,7,0,0,1
"BETHEL AIRPORT, AK US (USW00026615)",1/8/1953,,12,3,0,0,1
"BETHEL AIRPORT, AK US (USW00026615)",1/9/1953,,5,-4,0,0,1
"BETHEL AIRPORT, AK US (USW00026615)",1/10/1953,,6,-5,0,0,1
"BETHEL AIRPORT, AK US (USW00026615)",1/11/1953,,-2,-9,0,0,1
"BETHEL AIRPORT, AK US (USW00026615)",1/12/1953,,-3,-9,0,0,1
"BETHEL AIRPORT, AK US (USW00026615)",1/13/1953,,-1,-9,0,0,1
"BETHEL AIRPORT, AK US (USW00026615)",1/14/1953,,0,-7,0,0,1
"BETHEL AIRPORT, AK US (USW00026615)",1/15/1953,,-3,-11,0,0,1
"BETHEL AIRPORT, AK US (USW00026615)",1/16/1953,,1,-11,0,0,1
"BETHEL AIRPORT, AK US (USW00026615)",1/17/1953,,9,0,0,0,1
"BETHEL AIRPORT, AK US (USW00026615)",1/18/1953,,6,-3,0,0,1
"BETHEL AIRPORT, AK US (USW00026615)",1/19/1953,,4,-1,0.01,0.1,1
"BETHEL AIRPORT, AK US (USW00026615)",1/20/1953,,0,-10,0.1,1,1
"BETHEL AIRPORT, AK US (USW00026615)",1/21/1953,,-8,-25,0,0,2
"BETHEL AIRPORT, AK US (USW00026615)",1/22/1953,,-20,-31,0,0,2
"BETHEL AIRPORT, AK US (USW00026615)",1/23/1953,,-11,-33,0,0,2
"BETHEL AIRPORT, AK US (USW00026615)",1/24/1953,,27,-14,0.01,0.1,2
"BETHEL AIRPORT, AK US (USW00026615)",1/25/1953,,11,-22,0,0,2
"BETHEL AIRPORT, AK US (USW00026615)",1/26/1953,,-14,-22,0,0,2
"BETHEL AIRPORT, AK US (USW00026615)",1/27/1953,,-7,-17,0,0,2
"BETHEL AIRPORT, AK US (USW00026615)",1/28/1953,,-2,-15,0,0,2
"BETHEL AIRPORT, AK US (USW00026615)",1/29/1953,,1,-13,0,0,2
"BETHEL AIRPORT, AK US (USW00026615)",1/30/1953,,0,-20,0,0,2
"BETHEL AIRPORT, AK US (USW00026615)",1/31/1953,,-9,-16,0,0,2
"BETHEL AIRPORT, AK US (USW00026615)",2/1/1953,,-14,-19,0,0,2
"BETHEL AIRPORT, AK US (USW00026615)",2/2/1953,,-14,-25,0,0,2
"BETHEL AIRPORT, AK US (USW00026615)",2/3/1953,,-14,-34,0,0,2
"BETHEL AIRPORT, AK US (USW00026615)",2/4/1953,,-11,-35,0,0,2
"BETHEL AIRPORT, AK US (USW00026615)",2/5/1953,,-14,-24,0,0,2
"BETHEL AIRPORT, AK US (USW00026615)",2/6/1953,,-20,-26,0,0,2
"BETHEL AIRPORT, AK US (USW00026615)",2/7/1953,,-18,-28,0,0,2
"BETHEL AIRPORT, AK US (USW00026615)",2/8/1953,,-12,-27,0.01,0.1,2
"BETHEL AIRPORT, AK US (USW00026615)",2/9/1953,,-3,-16,0.03,0.3,2
"BETHEL AIRPORT, AK US (USW00026615)",2/10/1953,,34,-12,0.05,0.5,2
"BETHEL AIRPORT, AK US (USW00026615)",2/11/1953,,40,20,0.02,0.2,3
"BETHEL AIRPORT, AK US (USW00026615)",2/12/1953,,34,18,0,0,3
"BETHEL AIRPORT, AK US (USW00026615)",2/13/1953,,32,14,0,0,3
"BETHEL AIRPORT, AK US (USW00026615)",2/14/1953,,26,18,0.07,0.7,3
"BETHEL AIRPORT, AK US (USW00026615)",2/15/1953,,22,2,0,0,4
"BETHEL AIRPORT, AK US (USW00026615)",2/16/1953,,17,8,0.05,0.7,4
"BETHEL AIRPORT, AK US (USW00026615)",2/17/1953,,21,8,0.03,0.6,5
"BETHEL AIRPORT, AK US (USW00026615)",2/18/1953,,33,9,0.03,0.4,6
"BETHEL AIRPORT, AK US (USW00026615)",2/19/1953,,21,8,0,0,6
"BETHEL AIRPORT, AK US (USW00026615)",2/20/1953,,23,-2,0.03,0.3,6
"BETHEL AIRPORT, AK US (USW00026615)",2/21/1953,,25,0,0.01,0.1,6
"BETHEL AIRPORT, AK US (USW00026615)",2/22/1953,,37,24,0.08,1.2,6
"BETHEL AIRPORT, AK US (USW00026615)",2/23/1953,,32,24,0.1,0.8,7
"BETHEL AIRPORT, AK US (USW00026615)",2/24/1953,,37,29,0.13,0.5,8
"BETHEL AIRPORT, AK US (USW00026615)",2/25/1953,,33,5,0.13,1.1,6
"BETHEL AIRPORT, AK US (USW00026615)",2/26/1953,,18,4,0.01,0.1,7
"BETHEL AIRPORT, AK US (USW00026615)",2/27/1953,,30,17,0.05,0.6,7
"BETHEL AIRPORT, AK US (USW00026615)",2/28/1953,,33,22,0.16,1.6,8
"BETHEL AIRPORT, AK US (USW00026615)",3/1/1953,,24,8,0.01,0.2,9
"BETHEL AIRPORT, AK US (USW00026615)",3/2/1953,,12,-13,0,0,9
"BETHEL AIRPORT, AK US (USW00026615)",3/3/1953,,0,-26,0,0,9
"BETHEL AIRPORT, AK US (USW00026615)",3/4/1953,,6,-11,0,0,9
"BETHEL AIRPORT, AK US (USW00026615)",3/5/1953,,0,-13,0,0,9
"BETHEL AIRPORT, AK US (USW00026615)",3/6/1953,,0,-17,0,0,9
"BETHEL AIRPORT, AK US (USW00026615)",3/7/1953,,7,-24,0,0,9
"BETHEL AIRPORT, AK US (USW00026615)",3/8/1953,,10,-10,0,0,9
"BETHEL AIRPORT, AK US (USW00026615)",3/9/1953,,10,-5,0,0,9
"BETHEL AIRPORT, AK US (USW00026615)",3/10/1953,,5,-11,0,0,9
"BETHEL AIRPORT, AK US (USW00026615)",3/11/1953,,14,-17,0,0,9
"BETHEL AIRPORT, AK US (USW00026615)",3/12/1953,,13,-11,0,0,9
"BETHEL AIRPORT, AK US (USW00026615)",3/13/1953,,34,-4,0.02,0.2,9
"BETHEL AIRPORT, AK US (USW00026615)",3/14/1953,,36,25,0,0,9
"BETHEL AIRPORT, AK US (USW00026615)",3/15/1953,,28,18,0.03,0.6,9
"BETHEL AIRPORT, AK US (USW00026615)",3/16/1953,,18,7,0.04,0.6,10
"BETHEL AIRPORT, AK US (USW00026615)",3/17/1953,,21,1,0.04,0.6,11
"BETHEL AIRPORT, AK US (USW00026615)",3/18/1953,,18,-10,0,0,11
"BETHEL AIRPORT, AK US (USW00026615)",3/19/1953,,18,-7,0.03,0.4,11
"BETHEL AIRPORT, AK US (USW00026615)",3/20/1953,,11,-11,0,0,11
"BETHEL AIRPORT, AK US (USW00026615)",3/21/1953,,11,-18,0,0,11
"BETHEL AIRPORT, AK US (USW00026615)",3/22/1953,,15,-17,0,0,11
"BETHEL AIRPORT, AK US (USW00026615)",3/23/1953,,24,-12,0,0,11
"BETHEL AIRPORT, AK US (USW00026615)",3/24/1953,,25,-2,0,0,11
"BETHEL AIRPORT, AK US (USW00026615)",3/25/1953,,15,-8,0,0,11
"BETHEL AIRPORT, AK US (USW00026615)",3/26/1953,,2,-16,0,0,11
"BETHEL AIRPORT, AK US (USW00026615)",3/27/1953,,1,-29,0,0,11
"BETHEL AIRPORT, AK US (USW00026615)",3/28/1953,,7,-25,0.01,0.1,11
"BETHEL AIRPORT, AK US (USW00026615)",3/29/1953,,2,-13,0,0,11
"BETHEL AIRPORT, AK US (USW00026615)",3/30/1953,,3,-22,0.01,0.1,11
"BETHEL AIRPORT, AK US (USW00026615)",3/31/1953,,29,2,0.16,1.9,11
"BETHEL AIRPORT, AK US (USW00026615)",4/1/1953,,40,27,0,0,13
"BETHEL AIRPORT, AK US (USW00026615)",4/2/1953,,39,12,0,0,13
"BETHEL AIRPORT, AK US (USW00026615)",4/3/1953,,24,5,0,0,13
"BETHEL AIRPORT, AK US (USW00026615)",4/4/1953,,7,-10,0,0,13
"BETHEL AIRPORT, AK US (USW00026615)",4/5/1953,,13,-14,0,0,13
"BETHEL AIRPORT, AK US (USW00026615)",4/6/1953,,33,-7,0,0,13
"BETHEL AIRPORT, AK US (USW00026615)",4/7/1953,,40,17,0,0,13
"BETHEL AIRPORT, AK US (USW00026615)",4/8/1953,,48,27,0,0,12
"BETHEL AIRPORT, AK US (USW00026615)",4/9/1953,,43,17,0,0,7
"BETHEL AIRPORT, AK US (USW00026615)",4/10/1953,,38,17,0,0,7
"BETHEL AIRPORT, AK US (USW00026615)",4/11/1953,,42,20,0,0,6
"BETHEL AIRPORT, AK US (USW00026615)",4/12/1953,,44,20,0,0,6
"BETHEL AIRPORT, AK US (USW00026615)",4/13/1953,,35,18,0,0,5
"BETHEL AIRPORT, AK US (USW00026615)",4/14/1953,,18,1,0,0,5
"BETHEL AIRPORT, AK US (USW00026615)",4/15/1953,,28,-4,0.01,0.1,5
"BETHEL AIRPORT, AK US (USW00026615)",4/16/1953,,39,20,0,0.1,5
"BETHEL AIRPORT, AK US (USW00026615)",4/17/1953,,39,21,0,0,4
"BETHEL AIRPORT, AK US (USW00026615)",4/18/1953,,46,30,0,0,2
"BETHEL AIRPORT, AK US (USW00026615)",4/19/1953,,49,30,0,0,2
"BETHEL AIRPORT, AK US (USW00026615)",4/20/1953,,48,31,0,0,1
"BETHEL AIRPORT, AK US (USW00026615)",4/21/1953,,46,25,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",4/22/1953,,37,27,0.03,0.1,0
"BETHEL AIRPORT, AK US (USW00026615)",4/23/1953,,36,21,0.02,0.3,0
"BETHEL AIRPORT, AK US (USW00026615)",4/24/1953,,33,19,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",4/25/1953,,44,26,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",4/26/1953,,41,26,0.01,0,0
"BETHEL AIRPORT, AK US (USW00026615)",4/27/1953,,49,29,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",4/28/1953,,53,29,0.02,0,0
"BETHEL AIRPORT, AK US (USW00026615)",4/29/1953,,55,36,0.06,0,0
"BETHEL AIRPORT, AK US (USW00026615)",4/30/1953,,54,33,0.01,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/1/1953,,53,31,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/2/1953,,58,32,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/3/1953,,59,29,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/4/1953,,59,29,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/5/1953,,50,35,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/6/1953,,51,32,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/7/1953,,44,33,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/8/1953,,44,31,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/9/1953,,47,29,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/10/1953,,53,32,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/11/1953,,52,30,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/12/1953,,47,29,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/13/1953,,47,28,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/14/1953,,47,29,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/15/1953,,56,35,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/16/1953,,59,36,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/17/1953,,57,43,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/18/1953,,61,38,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/19/1953,,70,45,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/20/1953,,58,44,0.05,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/21/1953,,56,41,0.06,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/22/1953,,56,37,0.04,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/23/1953,,50,39,0.11,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/24/1953,,48,37,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/25/1953,,59,36,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/26/1953,,52,41,0.16,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/27/1953,,52,39,0.02,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/28/1953,,49,36,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/29/1953,,59,35,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/30/1953,,55,44,0.16,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/31/1953,,52,40,0.02,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/1/1953,,55,35,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/2/1953,,72,40,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/3/1953,,75,45,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/4/1953,,68,45,0.01,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/5/1953,,61,44,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/6/1953,,58,43,0.14,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/7/1953,,55,40,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/8/1953,,58,42,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/9/1953,,67,44,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/10/1953,,53,43,0.12,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/11/1953,,59,44,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/12/1953,,59,44,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/13/1953,,59,39,0.01,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/14/1953,,59,48,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/15/1953,,62,48,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/16/1953,,62,47,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/17/1953,,50,43,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/18/1953,,54,42,0.09,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/19/1953,,59,45,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/20/1953,,60,44,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/21/1953,,63,44,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/22/1953,,70,43,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/23/1953,,66,47,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/24/1953,,74,49,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/25/1953,,72,55,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/26/1953,,84,55,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/27/1953,,77,53,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/28/1953,,61,48,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/29/1953,,65,48,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",6/30/1953,,69,47,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/1/1953,,74,53,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/2/1953,,79,54,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/3/1953,,80,57,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/4/1953,,75,50,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/5/1953,,69,49,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/6/1953,,63,55,0.06,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/7/1953,,67,50,0.1,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/8/1953,,56,50,0.18,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/9/1953,,66,49,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/10/1953,,76,53,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/11/1953,,77,55,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/12/1953,,58,46,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/13/1953,,65,47,0.01,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/14/1953,,71,50,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/15/1953,,72,49,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/16/1953,,65,45,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/17/1953,,53,45,0.05,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/18/1953,,61,46,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/19/1953,,58,50,0.12,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/20/1953,,55,51,0.24,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/21/1953,,57,49,0.07,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/22/1953,,59,49,0.02,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/23/1953,,69,44,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/24/1953,,76,45,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/25/1953,,80,55,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/26/1953,,79,49,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/27/1953,,82,47,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/28/1953,,72,51,0.07,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/29/1953,,66,54,0.02,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/30/1953,,67,52,0.06,0,0
"BETHEL AIRPORT, AK US (USW00026615)",7/31/1953,,64,48,0.33,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/1/1953,,59,48,0.16,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/2/1953,,59,49,0.17,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/3/1953,,59,49,0.06,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/4/1953,,57,47,0.31,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/5/1953,,59,48,0.4,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/6/1953,,63,49,0.05,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/7/1953,,62,47,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/8/1953,,63,49,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/9/1953,,64,47,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/10/1953,,63,50,0.18,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/11/1953,,54,48,0.21,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/12/1953,,56,47,0.62,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/13/1953,,67,45,0.01,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/14/1953,,58,44,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/15/1953,,59,39,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/16/1953,,61,40,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/17/1953,,56,42,0.14,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/18/1953,,58,52,0.06,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/19/1953,,63,52,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/20/1953,,63,53,0.07,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/21/1953,,62,53,0.14,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/22/1953,,62,51,0.42,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/23/1953,,57,51,0.04,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/24/1953,,59,50,0.24,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/25/1953,,57,51,0.14,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/26/1953,,59,49,0.02,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/27/1953,,55,47,0.81,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/28/1953,,55,49,0.07,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/29/1953,,59,47,0.06,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/30/1953,,55,41,0.32,0,0
"BETHEL AIRPORT, AK US (USW00026615)",8/31/1953,,50,39,0.24,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/1/1953,,53,39,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/2/1953,,55,35,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/3/1953,,56,33,0.05,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/4/1953,,48,43,0.05,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/5/1953,,55,41,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/6/1953,,51,44,0.12,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/7/1953,,48,41,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/8/1953,,55,40,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/9/1953,,61,39,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/10/1953,,61,39,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/11/1953,,61,39,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/12/1953,,60,39,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/13/1953,,52,34,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/14/1953,,53,32,0.02,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/15/1953,,57,44,0.1,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/16/1953,,59,45,0.12,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/17/1953,,55,41,0.02,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/18/1953,,48,42,0.06,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/19/1953,,50,43,0.06,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/20/1953,,49,41,0.04,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/21/1953,,50,44,0.39,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/22/1953,,49,42,0.18,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/23/1953,,49,38,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/24/1953,,48,38,0.09,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/25/1953,,46,34,0.3,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/26/1953,,48,35,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/27/1953,,44,33,0.01,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/28/1953,,43,30,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/29/1953,,41,25,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",9/30/1953,,46,33,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",10/1/1953,,41,28,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",10/2/1953,,34,23,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",10/3/1953,,29,21,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",10/4/1953,,36,21,0,0,0
"BETHEL AIRPORT, AK US (USW00026615)",10/5/1953,,50,29,0,0,0
